Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,3,Zeros,0.4,occlusion,1.0,1.0,0.575,0.2324,0.6706,-0.3917,0.04342
42,3,Zeros,0.4,retain,1.0,1.0,0.755,0.1347,0.5093,-0.2305,0.1197
42,3,Zeros,0.5,deep_lift,1.0,1.0,0.525,0.2537,0.702,-0.4232,0.02964
42,3,Zeros,0.5,dyna_mask,1.0,1.0,0.335,0.3968,1.247,-0.9681,-0.05276
42,3,Zeros,0.5,extremal_mask,1.0,1.0,0.315,0.3616,0.9737,-0.6948,-0.1144
42,3,Zeros,0.5,fit,1.0,1.0,0.69,0.1905,0.583,-0.3042,0.06821
42,3,Zeros,0.5,gradient_shap,1.0,1.0,0.56,0.2392,0.6633,-0.3844,0.03503
42,3,Zeros,0.5,integrated_gradients,1.0,1.0,0.52,0.2549,0.7004,-0.4215,0.02647
42,3,Zeros,0.5,lime,1.0,1.0,0.595,0.2462,0.6627,-0.3839,0.08127
42,3,Zeros,0.5,augmented_occlusion,1.0,1.0,0.605,0.2213,0.6482,-0.3693,0.04693
42,3,Zeros,0.5,occlusion,1.0,1.0,0.555,0.2472,0.6854,-0.4065,0.02549
42,3,Zeros,0.5,retain,1.0,1.0,0.745,0.1538,0.5246,-0.2458,0.094
42,3,Zeros,0.6,deep_lift,1.0,1.0,0.49,0.2652,0.7068,-0.4279,0.02174
42,3,Zeros,0.6,dyna_mask,1.0,1.0,0.34,0.3963,1.245,-0.9665,-0.05321
42,3,Zeros,0.6,extremal_mask,1.0,1.0,0.34,0.3493,0.9377,-0.6588,-0.1138
42,3,Zeros,0.6,fit,1.0,1.0,0.7,0.204,0.602,-0.3232,0.05556
42,3,Zeros,0.6,gradient_shap,1.0,1.0,0.58,0.2519,0.6768,-0.398,0.02211
42,3,Zeros,0.6,integrated_gradients,1.0,1.0,0.52,0.2657,0.7076,-0.4288,0.01683
42,3,Zeros,0.6,lime,1.0,1.0,0.505,0.2679,0.6889,-0.4101,0.06936
42,3,Zeros,0.6,augmented_occlusion,1.0,1.0,0.56,0.2357,0.669,-0.3902,0.03628
42,3,Zeros,0.6,occlusion,1.0,1.0,0.525,0.2583,0.6932,-0.4144,0.01508
42,3,Zeros,0.6,retain,1.0,1.0,0.67,0.1834,0.5679,-0.2891,0.07248
42,0,Average,0.1,deep_lift,1.0,1.0,0.85,0.09637,0.4279,-0.1547,0.09118
42,0,Average,0.1,dyna_mask,1.0,1.0,0.535,0.2347,0.7497,-0.4766,-0.01819
42,0,Average,0.1,extremal_mask,1.0,1.0,0.34,0.3622,1.035,-0.7621,-0.1386
42,0,Average,0.1,fit,1.0,1.0,0.945,0.01781,0.3067,-0.03354,0.1631
42,0,Average,0.1,gradient_shap,1.0,1.0,0.815,0.1142,0.4595,-0.1864,0.07134
42,0,Average,0.1,integrated_gradients,1.0,1.0,0.845,0.1051,0.4411,-0.1679,0.08152
42,0,Average,0.1,lime,1.0,1.0,0.855,0.06633,0.3849,-0.1118,0.1074
