Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.1,fit,1.0,1.0,0.93,0.03177,0.3189,-0.05118,0.2355
42,1,Zeros,0.1,gradient_shap,1.0,1.0,0.76,0.1466,0.5055,-0.2378,0.1271
42,1,Zeros,0.1,integrated_gradients,1.0,1.0,0.76,0.1501,0.515,-0.2473,0.1284
42,1,Zeros,0.1,lime,1.0,1.0,0.835,0.1007,0.4227,-0.155,0.1629
42,1,Zeros,0.1,augmented_occlusion,1.0,1.0,0.775,0.138,0.4941,-0.2264,0.1298
42,1,Zeros,0.1,occlusion,1.0,1.0,0.68,0.1635,0.5377,-0.27,0.1124
42,1,Zeros,0.1,retain,1.0,1.0,0.91,0.02369,0.3125,-0.04486,0.2405
42,1,Zeros,0.2,deep_lift,1.0,1.0,0.735,0.1929,0.5763,-0.3087,0.07724
42,1,Zeros,0.2,dyna_mask,1.0,1.0,0.42,0.3316,1.026,-0.7587,-0.006079
42,1,Zeros,0.2,extremal_mask,1.0,1.0,0.185,0.4348,1.226,-0.9586,-0.1428
42,1,Zeros,0.2,fit,1.0,1.0,0.89,0.05853,0.3562,-0.08855,0.196
42,1,Zeros,0.2,gradient_shap,1.0,1.0,0.68,0.1994,0.5934,-0.3257,0.07567
42,1,Zeros,0.2,integrated_gradients,1.0,1.0,0.715,0.196,0.5804,-0.3127,0.07579
42,1,Zeros,0.2,lime,1.0,1.0,0.8,0.1334,0.4774,-0.2098,0.1293
42,1,Zeros,0.2,augmented_occlusion,1.0,1.0,0.685,0.1864,0.5762,-0.3085,0.09233
42,1,Zeros,0.2,occlusion,1.0,1.0,0.66,0.201,0.5976,-0.33,0.073
42,1,Zeros,0.2,retain,1.0,1.0,0.865,0.04975,0.3504,-0.08273,0.2081
42,1,Zeros,0.3,deep_lift,1.0,1.0,0.68,0.2199,0.6175,-0.3498,0.05704
42,1,Zeros,0.3,dyna_mask,1.0,1.0,0.35,0.389,1.237,-0.969,-0.03531
42,1,Zeros,0.3,extremal_mask,1.0,1.0,0.155,0.4454,1.255,-0.9878,-0.1441
42,1,Zeros,0.3,fit,1.0,1.0,0.795,0.113,0.448,-0.1803,0.1376
42,1,Zeros,0.3,gradient_shap,1.0,1.0,0.675,0.2178,0.6177,-0.35,0.04932
42,1,Zeros,0.3,integrated_gradients,1.0,1.0,0.695,0.2156,0.6103,-0.3427,0.05749
42,1,Zeros,0.3,lime,1.0,1.0,0.755,0.1555,0.5103,-0.2426,0.1105
42,1,Zeros,0.3,augmented_occlusion,1.0,1.0,0.66,0.2068,0.6058,-0.3381,0.07126
42,1,Zeros,0.3,occlusion,1.0,1.0,0.67,0.2202,0.6327,-0.365,0.05258
42,1,Zeros,0.3,retain,1.0,1.0,0.85,0.08435,0.4029,-0.1352,0.1662
42,1,Zeros,0.4,deep_lift,1.0,1.0,0.64,0.2333,0.6416,-0.374,0.04121
42,1,Zeros,0.4,dyna_mask,1.0,1.0,0.33,0.4134,1.35,-1.082,-0.04885
42,1,Zeros,0.4,extremal_mask,1.0,1.0,0.21,0.4332,1.21,-0.9426,-0.1365
42,1,Zeros,0.4,fit,1.0,1.0,0.715,0.1644,0.536,-0.2684,0.08637
42,1,Zeros,0.4,gradient_shap,1.0,1.0,0.685,0.2208,0.6177,-0.3501,0.03591
42,1,Zeros,0.4,integrated_gradients,1.0,1.0,0.65,0.2324,0.6387,-0.3711,0.0407
42,1,Zeros,0.4,lime,1.0,1.0,0.765,0.1694,0.533,-0.2653,0.1038
42,1,Zeros,0.4,augmented_occlusion,1.0,1.0,0.64,0.2253,0.6388,-0.3711,0.05083
42,1,Zeros,0.4,occlusion,1.0,1.0,0.645,0.2328,0.6477,-0.38,0.03897
42,1,Zeros,0.4,retain,1.0,1.0,0.83,0.1256,0.4655,-0.1978,0.1312
42,1,Zeros,0.5,deep_lift,1.0,1.0,0.67,0.2343,0.63,-0.3623,0.02899
42,1,Zeros,0.5,dyna_mask,1.0,1.0,0.31,0.425,1.4,-1.132,-0.05446
42,1,Zeros,0.5,extremal_mask,1.0,1.0,0.24,0.4175,1.147,-0.8789,-0.123
42,1,Zeros,0.5,fit,1.0,1.0,0.69,0.1921,0.5757,-0.308,0.06816
42,1,Zeros,0.5,gradient_shap,1.0,1.0,0.68,0.2299,0.6297,-0.362,0.02893
42,1,Zeros,0.5,integrated_gradients,1.0,1.0,0.67,0.2314,0.6246,-0.3569,0.03244
42,1,Zeros,0.5,lime,1.0,1.0,0.64,0.2364,0.6303,-0.3626,0.08838
42,1,Zeros,0.5,augmented_occlusion,1.0,1.0,0.64,0.2276,0.6379,-0.3702,0.04437
42,1,Zeros,0.5,occlusion,1.0,1.0,0.62,0.2415,0.6543,-0.3867,0.03092
42,1,Zeros,0.5,retain,1.0,1.0,0.795,0.1595,0.5174,-0.2497,0.09693
42,1,Zeros,0.6,deep_lift,1.0,1.0,0.64,0.2452,0.6443,-0.3766,0.02136
42,1,Zeros,0.6,dyna_mask,1.0,1.0,0.355,0.3968,1.245,-0.9776,-0.04509
42,1,Zeros,0.6,extremal_mask,1.0,1.0,0.26,0.3567,0.9192,-0.6515,-0.1134
42,1,Zeros,0.6,fit,1.0,1.0,0.675,0.2059,0.5953,-0.3277,0.05148
42,1,Zeros,0.6,gradient_shap,1.0,1.0,0.675,0.2391,0.6396,-0.372,0.023
42,1,Zeros,0.6,integrated_gradients,1.0,1.0,0.655,0.243,0.6402,-0.3725,0.02162
42,1,Zeros,0.6,lime,1.0,1.0,0.595,0.2693,0.6753,-0.4076,0.07155
42,1,Zeros,0.6,augmented_occlusion,1.0,1.0,0.625,0.2432,0.658,-0.3903,0.03294
42,1,Zeros,0.6,occlusion,1.0,1.0,0.63,0.2544,0.6691,-0.4014,0.02285
42,1,Zeros,0.6,retain,1.0,1.0,0.7,0.1928,0.5697,-0.3021,0.0786
